title,review,rating,date,developerResponse
1년 투자 솔직한 후기..,19년 10월쯤 호기심에 시작해서 잊고 있다가 1년쯤 지났네요. 불행인지 다행인지 판데믹으로 인해 주가 폭락과 폭등을 만나 운용상의 잇점이 충분히 있을만한 시장이기에 투자한게 생각나서 기대하고 수익율을 봤는데... ㅎㅎㅎㅎ 현 시점 마이너스.. 1년 내내 매월 원금이하의 마이너스 손실로 기록되어 있어 상당히 충격적이었습니다. 우량주 한두개만 잘 잡아도 수익이 날수있는 특수한 시기였는데 매월 마이너스?? 여기에 정말 믿고 맡길 수 있는건가요? 쓸까 말까 하다가 호갱 방지차 솔직한 후기 올리니 신중하게 판단 하시고 투자결정 하세요,1,2020-10-28 06:38:07,"안녕하세요. 핀트 고객센터입니다. 1년이란 시간 동안 믿고 투자를 하셨는데 만족할 만한 성과를 드리지 못 한 것 같아 안타깝습니다. 글로벌 자산배분을 추구하며, 고른 자산군의 ETF에 분산투자 하는 핀트 특성상 개별 주식 투자와 비교하자면, 보다 낮은 기대수익과 낮은 변동성으로 안정성에 주안점을 둔 투자 방식으로 이해해 주시기 바랍니다. 솔직한 의견에 감사 드리며, 만족스러운 성과를 드리는 운용을 하고자 고민하고 노력하는 핀트가 되겠습니다. 언제든지 어렵거나 불편하신 점이 있으실 경우 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다.   "
제 돈이 어디 갔을까요,"타행 은행 앱을 이용하여 핀트 앱 내에서 개설한 대신증권 계좌에 돈을 입금 하였습니다. 이전에 입금한 방식 그대로(정상적으로 입금 되었음) 계좌번호를 복사하여 직접 입금 하였습니다. 그런데 타행 계좌에서는 이미 출금이 되었는데 핀트 앱에서 확인하니, 입금이 되지않았습니다. 혹시나싶어 또 다른 은행 앱을 이용하여 입금하였더니 마찬가지로 그 은행 계좌에서는 돈이 이미 출금 됐는데, 핀트 앱 내 대신증권 계좌에는 입금이 되지않았습니다. 입금 당시에 계좌번호를 복붙하였기 때문에 틀리지도 않았을뿐더러, 받으시는분 이름이 제 이름인 것도 확인하였습니다. 확인 후 조치 부탁드립니다. 괜히 제 돈이 공중분해 된 것 같네요 ^^",1,2020-07-09 14:08:15,"안녕하세요, 핀트 고객센터입니다. 저희 Fint 서비스에 관심갖고 이용해 주셔서 감사합니다. 
먼저, 직접입금을 하시는 경우 핀트 앱 내 계좌에 반영되기까지 10분에서 최대 30분까지 소요될 수 있는 점 양해 부탁드립니다. 연결 계좌를 등록하시고 ""간편 입금""을 이용하시면 훨씬 더 편리하고 빠르게 이용하실 수 있습니다. 남겨주신 내용만으로는 고객님의 계좌를 특정하기가 어려워 정확한 계좌 정보 확인이 어렵습니다. 불편하시더라도, 당사 고객센터(1644-8880)로 연락주시면 계좌 확인 후 필요하신 도움 안내 드리도록 하겠습니다. 감사합니다. "
포보스가 선정한 2021 제일 실패한 어플,다운받고 나서부터 지금껏 단 1원의 이익도 내지 못한 최악의 어플 다운 받을까 말까 고민이신 분들 제발 다시 생각해보시길 바랍니다 너무나 후회가 되네요,1,2021-01-29 05:23:48,"안녕하세요, 핀트 고객센터입니다. 고객님 계좌에 대한 확인이 어려워 자세한 안내는 어려운데요. 우선 핀트 투자의 수익률이 기대하신 수준에 못 미치는 것 같아 안타까운 마음입니다. 핀트의 경우 글로벌 자산 배분에 집중한 중위험-중수익 특성의 투자 서비스로 투자 전략의 특성 상 단기 대응보다는 중장기 대응에 초점을 두고 있으며, 중장기적으로 꾸준한 수익을 쌓아나가는 것을 목표로 하고 있습니다. 단기적인 수익률 보다는 긴 호흡으로 바라봐 주시면 감사하겠습니다. 혹시 이용 중 문의사항 및 제안의견은 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
차라리 직접 주식하는게 수익이 더 나네요^^,처음 주식을 시작하고 싶어서 깔았던게 이 앱인데 수익률이 더럽게 안나서 지웠어요. 그리고 직접 주식을 해봤는데 AI가 주린이인 저보다 수익률 못내는 거보고 손절쳤는데 잘한생각인거 같네요^^ AI가 맞는지 참ㅋㅋ,1,2021-01-09 07:03:14,"안녕하세요. 핀트 고객센터 입니다. 핀트 투자는 전략적으로 글로벌 자산배분을 추구하며, 주식/채권/원자재 등 고른 자산군의 ETF를 대상으로 분산투자 합니다. 이에 운용 수익률을 단순히 증시와 비교하는 것은 맞지 않으며, 증시 혹은 개별 주식 투자 대비 낮은 기대 수익과 낮은 변동성으로 안정성에 보다 주안점을 둔 투자 방식입니다. 또한 투자 전략 특성상 단기 대응보다는 중장기 대응에 초점을 두며 중장기적으로 꾸준히 수익을 쌓아나가는 것을 목표로 하고 있는 점 참고 부탁드리고요.  성공투자 하시길 바라겠습니다. 감사합니다."
마이너스의 마이너스의 마이너스,"4개월째… 첫날 바로 마이너스 나고, 원금 회복 한 번도 못함. 원금 돌아오면 다 빼려고 버티는 중인데 갈수록 손실만 늘고 있음. 얼른 앱 삭제하고 싶은데 지긋지긋하네.",1,2022-04-15 03:32:35,"안녕하세요, 핀트 입니다. 핀트서비스를 믿고 투자해 주셨는데 수익률이 좋지 않아 안타까운 마음입니다. 핀트 투자는 ‘글로벌 ETF 자산배분’ 전략을 중심으로, 주식/채권/원자재 등 자산군에 분산투자하게 되는데요. 이러한 전략 특성 상 해당 자산군들의 시장 흐름을 어느 정도 따를 수 밖에 없으며, 단기적인 증시 움직임 등에 영향을 받게 됩니다. 특히 최근 일주일 사이 주요 지수들이 큰 폭으로 하락 하였는데요. 핀트의 투자도 시장 추종이 기본이 되기에, 최근 일주일 사이 수익률이 많이 하락한 상태 입니다. 또한, 운용에 있어 단기 수익률을 추구하거나 단기 트레이딩에 치중하지는 않으며, 중장기적인 시각에서 포트폴리오를 구성함을 이해해 주시기 바랍니다. 포트폴리오의 위험 대비 수익률을 안정적으로 가져가는 글로벌 자산배분 투자는 투자 기간이 길어질수록 손실 확률도 낮아지게 됩니다. 핀트 투자는 중장기적으로 꾸준한 수익을 쌓아나가는 것을 목표로 하고 있으며, 장기 투자를 할 수록 좋은 성과를 기대할 수 있습니다. 추가적인 문의사항이나 궁금하신 점 있으실 경우 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
아이폰 사용자인데 인증전화 인증이 안되요.,"미국서 오래 살다가 한국 인증제도 적응이 정말 안되는데 하다하다 이제는 전화인증까지 정말 짜증이 엄청 나네요. 그냥 다른 회사들 하는것처럼 일반 전화 텍스트로 인증하는 거로 바꾸면 좋을 듯 싶네요. 앱 사용하기전부터 짜증나기는 처음이네요.
비대면이라고 하지만 다른 데는 다 되는데 여기만 그러면 문제가 있는거 아닌가요? 잘 생각해 보세요. 소비자가 좋은데 이런 얘기할수 있을까요? 하면서 좋아서 이런게 아니라 개선목적으로 리뷰를 쓰는게 아닐까요?",1,2022-03-31 10:38:15,"안녕하세요, 핀트 입니다. 우선 핀트 이용에 불편을 드려 죄송합니다. 핀트 투자를 위해서는 증권사 비대면 계좌 개설이 필요합니다. 현재 증권사 비대면 계좌 개설은 국내 거주중인 대한민국 국적의 만 19세 이상 성인에 한해 가능합니다. 금융서비스 고객 보안을 위해 계좌개설 시 휴대폰 본인 인증과 신분증 인증이 필요하며, 은행계좌 연결 및 출금동의를 위해 1원 인증과 ARS 인증이 필요합니다. 보안을 위해 필요한 절차로 불편하시겠지만 고객님의 이해 부탁드립니다. 추가적인 문의사항이나 궁금하신 점 있으실 경우 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
안열려요,앱이 열리지 않습니다 해결방법 확인 부탁드립니다,1,2019-12-23 14:17:36,"안녕하세요, 핀트 고객센터입니다. 먼저, 앱 서비스 이용에 불편 겪으신 점 사과드립니다. 앱 실행에서 어려움을 겪으시는것으로 유추 되는데요. 우선, 남겨주신 리뷰 내용만으로는 정확한 상황 파악이 어려워 답변드리기가 어렵습니다. 불편하시더라도, 언제든지 당사 고객센터 (1644-8880)로 유선 문의 주시면, 필요하신 도움을 드리겠습니다. 감사합니다. "
1년 넘게 넣어놨는데,"꾸준히 조금씩 이자가 붙더니 요 최근에는 원금도 까먹고 있네요? 말 안하니깐 그냥 막 하는 느낌인데, 나는 분명 안전자산형으로 했는데 뭘 하다가 자꾸 까먹는거? 지금 조금 안 넣고 있다고 관리할 필요성이 없어보이나?

오늘 또 한 번에 22만원 해드시네? ‘안전투자형’인데 뭘 자꾸 해먹다가 날려먹는지 모르겠네?",1,2022-06-13 04:27:40,"안녕하세요, 핀트 입니다. 핀트서비스를 믿고 투자해 주셨는데 수익률이 좋지 않아 안타까운 마음입니다. 핀트 투자는 ‘글로벌 ETF 자산배분’ 전략을 중심으로, 주식/채권/원자재 등 자산군에 분산투자하게 되는데요. 이러한 전략 특성 상 해당 자산군들의 시장 흐름을 어느 정도 따를 수 밖에 없으며, 단기적인 증시 움직임 등에 영향을 받게 됩니다. 특히 최근 미국의 공격적 금리인상, 러시아 - 우크라이나 전쟁 장기화, 중국의 도시봉쇄 등 지정학적 리스크로 증시가 좋지 못해 시장 추종이 기본인 핀트의 수익률 역시 좋지 못 한데요. 하지만, 포트폴리오 구성의 안정성에 최대한 집중하며 데이터를 통해 마켓타이밍과 종목에 대한 선택과 집중을 동적으로 대응하여 시장 상황에 맞게 적절한 자산 재조정을 해 나가고자 하고 있습니다. 이에 단기 대응보다는 중장기 대응에 초점을 두고 있으며, 중장기적으로 꾸준한 수익을 쌓아나가는 것을 목표로 하고있으며 현재 AI 엔진 아이작은 시장의 상황을 객관적으로 판단하고 변동성을 최소화하며 대응하고 있습니다. 또한 변동성이 커진 만큼 특정 자산에 치우치지 않도록 밸런스 있는 포트폴리오를 유지하면서 운용될 예정으로 아이작의 판단 및 운용에 동의 되신다면 조금 더 지켜봐 주시길 바라겠습니다. 추가 문의나 소중한 의견 있으시면 언제든지 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
손해만 보다 접습니다.,"처음으로 리뷰라는걸 작성하네요. 
벌써 -34만입니다. 기대에 부풀어있던 제가 엊그제 같은데, 실망이 너무 큽니다. 
뭐만하면 코로나때문이라고 하고 그걸 누가 모릅니까.. 그럼 거기에 대한 대책이 있어야된다 생각합니다. 당하고만 있으면 누가 이 어플을 이용합니까. 차라리 개인이하지
거기다 해지 신청을 했는데 또 기다려야된대요 ㅎㅎ
아니 내일부터 주가 더 폭락할텐데 돈 잃는거 지켜보고만 있어야겠네요.",1,2020-03-09 07:42:46,"안녕하세요, 핀트 고객센터입니다. 현재 핀트투자는 미국 증시와 우량채권 등을 우선하여 포트폴리오를 구성하고 있는데요. 어려운 환경이지만 포트폴리오 구성의 안정성에 계속 집중하고자 합니다. 해지 신청 시 자산청산 - 청산금액 결제 - 환전(달러투자의 경우) 등이 필요하기에 절차상 시간소요가 불가피한 점을 이해해 주시기 바랍니다. 감사합니다"
그냥..,빼고 갑니다.. 100프로 수익이라고 믿고 굴러다니는돈 넣어둔건데 이건 3개월이 지나도록 계속 꾸준히 마이너스만 치네요.. 이자가 쥐똥만해도 차라리 적금에 넣어두는게 나을뻔했어요 ㅡㅡ 원금 이렇게 깍아먹을줄 몰랐어요,1,2022-05-15 03:08:04,"안녕하세요, 핀트 입니다. 핀트서비스를 믿고 투자해 주셨는데 수익률이 좋지 않아 안타까운 마음입니다. 핀트 투자는 ‘글로벌 ETF 자산배분’ 전략을 중심으로, 주식/채권/원자재 등 자산군에 분산투자하게 되는데요. 이러한 전략 특성 상 해당 자산군들의 시장 흐름을 어느 정도 따를 수 밖에 없으며, 단기적인 증시 움직임 등에 영향을 받게 됩니다. 특히 미국의 공격적 금리인상, 러시아 - 우크라이나 전쟁 장기화, 중국의 도시봉쇄 등 지정학적 리스크로 증시가 좋지 못해 시장 추종이 기본인 핀트의 수익률 역시 좋지 못 한데요. 하지만, 포트폴리오 구성의 안정성에 최대한 집중하며 데이터를 통해 마켓타이밍과 종목에 대한 선택과 집중을 동적으로 대응하여 시장 상황에 맞게 적절한 자산 재조정을 해 나가고자 하고 있습니다. 이에 단기 대응보다는 중장기 대응에 초점을 두고 있으며, 중장기적으로 꾸준한 수익을 쌓아나가는 것을 목표로 하고있으며 현재 AI 엔진 아이작은 시장의 상황을 객관적으로 판단하고 변동성을 최소화하며 대응하고 있습니다. 또한 변동성이 커진 만큼 특정 자산에 치우치지 않도록 밸런스 있는 포트폴리오를 유지하면서 운용될 예정으로 아이작의 판단 및 운용에 동의 되신다면 조금 더 지켜봐 주시길 바라겠습니다. 추가 문의나 소중한 의견 있으시면 언제든지 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
