title,review,rating,date,developerResponse
이해가 되지 않는다,"직원은 친절했다 돌머리인 나에게 친절하게 설명해 주었고 그 부분에 대해서는 한없이 감사하다. 다만  
""총 투자금액 720,317원 중 전날자 기준 계좌 평가금이 717,941원 입니다. 매도 날짜에 따라 금액이 달라질 수야 있지만 생각하시는 것 만큼 손해보지는 않으실테니 너무 염려하지는 않으셔도 괜찮습니다."" 라는 답장을 주었다 그러나 입금된 금액은 64만원 이었다 해지후 하루만에 입금되었는데 하루만에 7만원 이상이 줄었다 왜인지 모르겠다 안정형으로 투자했는데도 코로나 때문이었던걸까? 이것이 투자의 위험도인가 나같은 무지렁이는 투자는 하면 안된다는 교훈을 얻었다 7만원정도면 적은금액으로 큰 교훈을 얻은것 같아 그렇게 억울하진 않다 그런데 억울하다 치킨을 몇마리를 먹을수 있었던 돈인가 내가 좋아하는 눈꽃치즈피자를 세판을 시켜먹을 돈인데 억울하다 그치만 안옥율하다고 생각하려고 한다 경제가 나아지면 괜찮으려나 내가 너무 안좋은 시키에 즈돈을 뺀건가 그럼 7만원이나 손해봏것이라고 알려줬으면 사실 안뺐을지오 모른다 모르겠다 내 치킨과 피자가 아깝다 그치만 직원은 잘못이 없다 나와있는대로 이야기 해줬으니 잘못이 없겠지 그래도 나는 억울하다",1,2020-03-13 11:20:21,"안녕하세요, 링동천재 고객님 :)

가입하셨던 펀드 상품의 경우는 각 펀드마다 환매되는데 발생하는 시간의 차이가 있습니다.
그렇다보니 인출을 하려고 하셨던 시점에 아직 매도가 되지 않은 펀드가 있어서 차이가 났을 것으로 확인이 되는데요.

카카오톡(http://pf.kakao.com/_xcixfWC/chat) 으로 연락해 주시면, 다시 한번 확인을 도와드리겠습니다!"
파운트 해지,파운트 투자할때는 쉽게 만들어놓고 해지하면 돈 다시 받기가 껄끄러움 다운받고 인증하고 이것저것 귀찮게 만들어놨음;;,1,2021-04-02 10:49:30,"안녕하세요, scftvhrdcwgj 고객님 :) 해지 후 출금과정에서 불편을 겪으셨군요ㅠ 최대한 자금을 안정적으로 운용할 수 있도록 제휴계좌를 활용한 다는 것이 불편으로 다가가게 된 것 같습니다. 이러한 불편을 해소하기 위해 하반기에는 오픈뱅킬을 활용하여 좀 더 간편한 입출금이 가능하도록 앱 서비스를 개선할테니 기다려주시면 감사하겠습니다. 보다 편리한 서비스로 성장하겠습니다!"
수익률 -10프로 보고 씁니다,"오늘로 449일째
늘 마이너스다가 작년에 반짝 2만 원 수익 보이더니 그 뒤로 바닥을 모르고 추락하여 -20만 원 손실을 앞두고 있네요
소소한 자산이나마 은행이자보다 낫겠거니 하며 맡겨둔 건데 타어플에 비해 수수료도 비싸고 수익률도 형편없고 핵심적인 부분에서 하등 나은 점이 없지 싶습니다
인생수업 했다 치고 곧 해지하여 다른 어플이나 적금으로 갈아탈까 합니다 저같은 사람도 있으니 참고하세요^^",1,2022-06-03 03:14:53,
리뷰가 다 광고네요,"수익도 별로고 해지 후 환급도 어렵네요.
직접투자 보다 못한것 같아요.
여기있는 리뷰들이 정말 웃깁니다 ㅎ",1,2021-09-07 04:00:48,"안녕하세요, 티거스00 고객님 :) 수익률과 해지 후 환급 과정에 대해 리뷰를 남겨주셨네요. 같은 투자자의 입장에서 수익률이 아쉬우셨을 마음에 충분히 공감하며 죄송하게 생각합니다. 파운트에서는 다양한 요인으로 인해 변화하는 시장 사이클이 반복될수록 포트폴리오의 성과가 좋아질 수 있게 구성이 되어있습니다. 시장의 변동성에 따른 영향을 아예 받지 않는 것은 아니기 때문에 직접 투자하며 변동성에 즉각 대응이 가능하다면 파운트의 도움을 빌리는 것보다 직접 투자하는 것이 고객님께 더 효율적인 선택이 될 수도 있어 보입니다. 해지 이후에는 파운트 전용 증권사 투자 계좌가 일반 증권사 투자계좌로 전환되어 개인투자를 이어가시거나 증권사 앱을 통해 다른 계좌로 인출이 가능하도록 설계되어 있습니다. 리뷰는 저희도 놀랄 정도로 감사한 의견을 남겨주시는 분들이 계시다보니 광고라 생각하시게 된 것 같습니다.(앱스토어 정책상 리뷰 또는 차트를 조작하는 경우 제재받을 수 있습니다.) 개선요청사항이나 의견을 남겨주시면 보다 쉽고 편리한 서비스 제공에 힘쓰겠습니다!"
최악의 사용성,"너무간소화 한 나머지 출금 방법이라던지 제대로 된 설명도 없고 같이 연동된 신한투자증권에서는 사고계좌라고 이체도 못하게 막아놨고 24시간 상담원 돌리는 것도 아니면서 이런 문제에 대해서는 전혀 메뉴얼도 없고 사용자 입장에서 봤을 때는 진짜 최악 그자체 왜 쓰는지 이해 불가

*퇴근 시간인건 아는데 지금 겪고 있는 상황 설명했더니 처음에 해결책이랍시고 줫던 메뉴얼 답장 또 한 번 보내고 그냥 퇴근해버리시네요  아주 칭찬합니다 ^^",1,2021-01-20 13:15:48,"안녕하세요, 고객님 :) 고객님의 편의를 위해 평일 상담시간 연장 및 주말상담도 진행하고 있습니다.(평일:10:00~22:00, 주말 09:00~18:00) 다만 주말에는 시스템상 처리가 제한되는 부분이 있을 수 있습니다. 보다 친절한 안내를 드릴 수 있도록 하겠습니다. 궁금하신 사항은 카카오톡이 아니더라도 파운트 앱 메뉴 자주묻는 질문 또는 챗봇메뉴를 통해서도 확인이 가능하며, '사고계좌'로 처리 되어 있는 것은 포트폴리오의 비율을 유지하기 위해, 혹시라도 발생할지 모를 이슈 등을 방지하기 위해서 입니다. 파운트 앱 내에서 저희와의 자문계약을 먼저 해지한 후 신한금융투자에서 사용이 가능한 '일반계좌전환'이 된 상태에서 출금이 가능하다는 점 참고하여주세요! 다른 궁금한 사항이 생기면 카카오톡(http://pf.kakao.com/_xcixfWC/chat)으로 연락주시길 바랍니다."
약 1년반 사용후기,"적립식 투자로 매달 100만원씩
투자 했습니다 큰 기대를 하진 않았고 그저 원금보존이라도 되려나 싶어서 시작했는데 이건 뭐..
적게는 5퍼센트에서 10퍼센트 원금손실이면
그냥 은행에 넣죠 … ;; 아무리 하락장이라도 이건 좀 심하다 싶네요 믿을만 한지도 모르겠고",1,2022-02-24 05:07:54,"안녕하세요, 퐁폼ㅎ 고객님 :) 펀드는 증권사/운용사/수탁회사/예결원을 거쳐 자금이 관리되고 있어 매매기간이 다소 소요된다는 특성을 가지고 있습니다. 그렇다보니 매도와 매도를 둘다 진행하는 리밸런싱의 경우 시간이 더 오래 소요되는 경향이 있는 점 참고하여 이용해주세요. 특히 해외 종목의 경우 해외 운용사를 거쳐 시차발생으로 인한 추가적인 딜레이가 발생할 수 있습니다. 매매기간에 따른 운용손실이 염려되신다면 비교적 빠르게 매매가 이루어지는 ETF 상품을 추천해드립니다. (1~3영업일)"
인공지능 다 필요없네,"실시간으로 손실에 대처에서 실시간 자동으로 매도 매수 해줘서 손실 줄여주는 기능을 기대했는데, 그냥 주식 장이 안좋으면 똑같이 다 손실나니 굳이 로보어드바이저에 맡기는 이유를 잘 모르겠네요. etf 넣어놓자마자 100만원이 며칠만에 훅 파쇄되었어요. 이러면 주식장에 개인적으로 etf 사는거랑 뭐가 다른지.. 포트폴리오 담아놓은걸 보니 전부다 마이너스( 플러스 상쇄될만한건 하나도 담아놓지 못했네요? 주식장에 전부 마이너스만 있는건 아닌데. 기능 의심됨..",1,2021-02-26 16:01:33,"안녕하세요, GMPerrrrrrrrrrrr 고객님:) 그래프가 아예 노출이 되지 않는 상황이신가요?  자세한 확인과 처리를 도와드릴 수 있게 해당 화면을 캡쳐하여 카카오톡(https://fount.pub/talk)으로 보내주시면 담당자를 통해 확인 후 답변드리도록 하겠습니다!"
돈 다시 가져가기 복잡하게 만들어 놓음,"돈 빼기 더럽게 복잡함. 일반계좌 전환해야되고 신한앱 들어가서 또 이체 찾아야되는데 개짜증나서 일부러 평가 남기로 들어옴. 

무엇보다 149만원에서 일반계좌 전환하니까 142만원으로 입금. 7만원 띠어먹음. 이거 쳐먹고 사나봄. 수수료 0원은 왜 적어놈? 국세청이랑 신고할 수 있는데에 다 신고할거임.",1,2020-12-14 01:56:05,"안녕하세요, CornSpring 고객님 :) 신한금융투자 증권사의 계좌를 활용하고 있다보니 현재 출금/이체 업무는 신한금융투자 알파앱 또는 홈페이지를 통해 진행이 가능합니다. 해당 부분에 대해 앱 사용이 불편한 부분을 충분히 있지하고 있어 내년 상반기에는 파운트 앱내에서 바로 출금이 가능하도록 개편될 예정입니다. 또한 투자되고 있던 금액은 바로 출금이 가능한 것이 아니라 환매를 거쳐 출금이 가능한 상태로 전환이 됩니다:) 말씀주신 특정 금액은 매도가 되지 않아 출금이 불가한 상태인 것으로 예상됩니다. (환매기간 - 펀드:영업일 기준 3~15일, ETF: 1~3일) 또한 수익이 나지 않은 경우에는 성과보수를 수취하고 있지 않습니다. 이용에 참고해주시고 문의사항이 있는 경우 카카오톡(https://fount.pub/talk)으로 연락해주세요!"
최악의 어플 계정 삭제는 왜 안만들어 놓앗나요?,"투자 상품 중간에 해지 불가함
은행 증권사 연결된 계좌 은행에서도 삭제 불가함
오직 파운트에서만 가능하게 해놓음 이게 말이 되나요. 내 계좌를 내가 컨트롤오 안되고

계정 카톡이나 전화해야지만 삭제해줌 ㅋㅋ 이건 미친거지요. 제정신으로 어플을 구상한건지 이해가 되지 않습니다. 주변에도 절대 추천하지 않겠습니다",1,2020-12-31 06:45:42,"안녕하세요, 필그린 고객님:) 우선 해지는 원하실 때 자유롭게 가능합니다. 다만 포트폴리오 주문중이거나 리밸런싱이 진행중일 때에는 매매가 이루어지고 있는 상황이기에 해지가 불가하며 그런 경우에는 주문이 완료 된 후 해지가 가능합니다. 계정삭제/탈퇴의 경우 진행중인 계약이나 개설된 계좌가 있는 상태에서는 오류가 발생할 우려가 있어 앱 내에 버튼을 구현해두지 않고 전화나 카카오톡(http://pf.kakao.com/_xcixfWC/chat)으로 요청주시면 진행해드리고 있습니다. 차후 앱 내에 버튼을 구현하여 릴리즈될 예정이니 이용에 참고해주세요.(단, 버튼이 구현되더라도 진행중인 계약이 있는 상태에서는 탈퇴가 불가하며 보유중인 계약을 모두 해지 후 탈퇴가 가능합니다.) 사용자의 입장에서 보다 편리한 서비스 제공을 위해 발전하는 파운트가 되겠습니다. 불만사항, 개선요청 사항이 있다면 카카오톡으로 의견을 남겨주세요! 최대한 방영할 수 있도록 하겠습니다."
돈 넣을땐 맘대로지만 뺄땐 아니란다,ㅋㅋㅋ진짜 치사하게 돈 넣는건 아주 친절하게 개발 uiux 다 구현 해놓으시구 ㅎㅎ  해지하는건 거의 니들 알아서 하라 식... 해지하는거 진짜 복잡합니다 파운 앱 내에서 불가능하고 자기가 알아서 해야하는데 진짜 화가났던건 신한알파앱에서 계좌번호만 입력하라고 계좌번호를 보내주는데 잘못된 계좌번호를 주고 있고 아니 제발 유저 입장에서좀 생각하세요 자기들만의 세계에 빠져있지 마시구요 제발요,1,2021-02-28 00:38:49,"안녕하세요, 어어루우투처처어우 고객님 :) 앱 이용에 있어 불편을 드려 죄송합니다. 고객님의 자산을 보다 안정적으로 운용하기 위해 증권사 계좌를 활용해 투자자문/일임 서비스를 제공해드리는 부분이 출금에 있어 불편으로 다가가게 되었네요. 해당 부분은 이번년도 상반기 7~8월에 오픈뱅킬을 활용하여 파운트 앱 자체 내에서 출금이 가능하도록 할 예정입니다! 또 어느 담당자를 통해 상담을 진행해주셨는지 리뷰상으로는 알 수 없지만, 대신 죄송하다는 말씀을 드리며 사용자의 입장에서 보다 편리한 앱서비스를 만들어가겠습니다!"
