title,review,rating,date,developerResponse
건의드리겠습니다,"현재 보유자산을 매일 수익률을 반영해서 그래프로 표시해주시면 직관성이 상당히 좋아질것 같습니다.
그리고 앱을 실행시킨 후 홈화면등 다른앱을 사용하다가 다시들어가서 face id를 실행하면 잠금이풀리지않는 현상이있습니다",5,2021-02-24 05:37:54,"안녕하세요, Kim기승 님. 불릴레오 입니다. 좋은 의견 감사드립니다. 말씀 주신 수익률 그래프는 내부적으로 준비중에 있습니다. 조금만 더 기다려주시길 바랍니다. 해당 버그도 확인하도록 하겠습니다. 오늘도 불릴레오와 함께해주셔서 진심으로 감사드립니다. "
와 이거 진짜 신박하네요,마음 졸이며 주식투자하다가 맘편하게 투자하고 싶어서 하고 있는데 너무 만족스럽습니다!!👍 수수료도 여기는 시나리오별로 0.2~1% 까지 다양해서 합리적인거같아요,5,2020-06-25 13:43:37,"안녕하세요, 뇽뇨리 님. 불릴레오 입니다. 만족스럽게 이용중이시라니 너무나 기쁘네요! :) 앞으로도 다양한 투자기회들을 발굴하여 보여드릴 수 있도록 하겠습니다. 감사합니다. 팀 불릴레오 드림"
안정적인 투자를 원하는 사람에게 최고의 앱,"다양한 투자 시나리오를 보유하고 있고, 수익과 리스크관리를 모두 잡을 수 있는 투자 방법을 제공하고 있어 안정적인 투자를 원하는 사람에게 최고의 앱이네요. 여러 칼럼을 통해 수시로 경제 공부를 시켜주는 것은 보너스.",5,2021-04-16 04:36:07,"안녕하세요, 헤드좋아 님. 피드백 감사합니다! 체계적인 자산관리를 이어갈 수 있도록 노력 하겠습니다. 투자 콘텐츠 또한 앞으로도 꾸준히 업데이트 될 예정이니 많은 관심 부탁드립니다. :) 오늘도 불릴레오와 함께 해주셔서 진심으로 감사드립니다. "
투알못에게 좋아요,국내주식은 혼자 하겠는데 미국주식이랑 다른 상품은 투자를 못하겠어서 불릴레오 찾아왔어요. 시나리오라는게 뭔가 했는데 경제 사회 속에서 투자 힌트를 얻어서 전문가가 체계적으로 관리해준다는게 믿음직스럽네요.,5,2020-06-25 13:47:08,"안녕하세요, ysbiurdnar 님. 불릴레오 입니다. 소중한 의견 감사드립니다 :) 앞으로도 다양한 투자 기회들을 발굴하여 제공 드리고 고객님의 자산을 체계적으로 관리하기 위해 노력하도록 하겠습니다. 감사합니다. 팀 불릴레오 드림"
지금과 같은 상승장에 딱 맞는 앱이 드디어 나왔네요.,친구가 안드로이드에서만 된다고 해서 지금까지 기다려어요 ㅠㅠ. 드디어 나오네요. 지금 처럼 상승장에  어떤 ETF가 좋을지 혼자 공부중이었는데 드디어 뭔가 안내서를 찾은 듯한 느낌입니다.,5,2020-04-29 15:03:55,"안녕하세요, 가치투자자 마표대교 님. 불릴레오 입니다. ETF 투자의 안내서라고 비유해주시다니 너무나 감격스럽네요! :)  믿고 함께 해주시는 만큼 고객님의 투자가 성공적인 도전이 될 수 있도록 노력하도록 하겠습니다. 감사합니다. 팀 불릴레오 드림"
굿이에요 굿굿굿!👍🏼,투자 초보자도 따라가다보면 어느새 투자자가 되어있네요.  한눈에 알아보기 쉽고 해외투자에 대한 접근이 어렵지 않아서 일단 시작해보기에 딱인거 같아요. 무엇보다도 적은 돈으로 시작해도 전문가의 자문을 받을 수 있다는게 제일 만족스럽네요.,5,2021-01-19 09:25:29,"안녕하세요. ㅎㅎㅎ혀ㅛㅑㅕ님, 불릴레오입니다. 소중한 의견 감사드립니다 :) 앞으로 더 많은 투자 기회들을 발굴하여 보여드리도록 하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 노력하겠습니다. 감사합니다. 팀 불릴레오 드림.
"
투자 4개월째 만족중.,시기가 좋았다고 할 수도 있으나.. 몰빵이아닌 분배로 안정적인 느낌을 줌으로 신뢰하고 투자할 수 있을 것같다는 생각이 듬. 적립식 투자로 계속 해볼 예정.,5,2020-12-03 13:35:31,"안녕하세요, 굿인듯 님, 불릴레오입니다. 소중한 의견 감사드립니다! 각 시나리오 별 자산 분배 뿐 아니라 시나리오 마다의 전략 분배까지 활용하고 계신듯 합니다. :) 앞으로 더 많은 투자 기회들을 발굴하여 보여 드리도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
아주 잘쓰고 잇어요,투자도 그렇지만 정기적으로 발행하는 블로그글도 너무 유용해요,5,2021-04-18 22:44:39,"안녕하세요, 레이펠리 님. 소중한 의견 감사드립니다. :) 불릴레오에서 다뤄줬으면 하는 주제의 글이 있다면 언제든지 의견 남겨주시면 감사하겠습니다. 오늘도 불릴레오와 함께 해주셔서 진심으로 감사드립니다. "
불릴레오 기대되네요!,"내게 맞는 시나리오 선택으로, 성공적인 투자를 기대해요!

불릴레오 화이팅!!!",5,2020-06-13 02:18:15,"안녕하세요, 사계절을 견디는 자산배분 님. 불릴레오 입니다. 소중한 의견 감사드립니다 :) 믿고 함께 해주시는 만큼 고객님의 투자가 성공적인 도전이 될 수 있도록 노력하도록 하겠습니다. 감사합니다. 팀 불릴레오 드림"
투자를 첫 시작하시는 분들께 추천,간편하게 미국 etf에 투자하실 수 있습니다,5,2021-03-03 09:16:12,"안녕하세요, 대박썽스 님. 불릴레오 입니다. 피드백 감사드립니다. 앞으로도 다양한 투자 기회들을 발굴하여 보여드리도록 하겠습니다. 감사합니다. "
