title,review,rating,date,developerResponse
10개월 이용 후기,"핀트를 이용한지 어언 10달 정도 지나고 느지막히 써보는 후기입니다. 핀트의 최대 장점은 역시 저같은 투자 초보자, 입문자들도 비교적 쉽게 시작 할 수 있다는 점이 큰 것 같습니다. 투자 성향에 따라 분류도 상당히 매력적이었고요 저 같은 경우에는 매우 안전으로 선택을해서 일확천금을 얻진 못했지만 그렇다고 돈을 잃지도 않았습니다. 따로 관리도 필요없고 해서 그냥 은행 적금 넣어두듯이 편하게 이용 한 것 같습니다 
그리고 투자금 회수 할 때 항목들 읽어보시면 여러 투자항목 회수하느라 시간이 최대 얼마나 걸린다고 명시가 되어있는데 몇 분 후기 읽어보니까 돈을 안 준 다고들 하시더라구요. 저는 방금 알림 떠서 확인 했는데 돈 잘 들어왔습니다. 제 후기가 도움이 되었으면 좋겠네요 모두 즐거운 하루 보내세요.",5,2021-06-09 23:26:10,안녕하세요. 핀트 고객센터 입니다. 다른 고객들에게 도움이 되는 리뷰에 감사 드립니다. 핀트는 안정성에 무게를 둔 중위험-중수익을 투자 서비스로 중장기적으로 꾸준한 수익을 쌓아 나가는 것을 목표로 하고 있습니다. 현재는 핀트 일임계약을 해지 하신 것 같은데요.  핀트 투자를 통해 다시 만나 뵙길 바라고요. 자산을 쌓아가는 생활 속 투자 핀트와 함께 건강한 투자 습관도 기르고 자산을 쌓아가는 재미도 느껴 보시기 바라겠습니다. 감사합니다.
1년 100만원 파일럿 결과 8% 정도 수익률,"파일럿으로 해봤는데, 더넣을거그랬어.
Ai가 좀 칩니다? 다만, 지금 장을 굉장히 보수적으로 보고있어서, 공격적인 투자를 하려는 사람에게는 비추천. 오히려 수비적으로 해서 답답할때도 많은데 장기로 꾸준히 투자하려고 하는데, 귀찮은 사람들에겐 수익금 중 9프로 조건에 위임한다고 생각하면 나름 괜찮습니다.
다만, 투자에 대한 프로퍼티를 잘 보여주진 않기때문에- 예를들어 투자를 집중투자로 바꿨을때, 그걸 그냥 일러로 보여주는데- 이러다보니 바꾸기가 싫어짐. 어느정도 투자 포트폴리오를 보여줘야지- 결국 임시로 예비투자로 확인해야하는데 이건 좀 아니다 싶음. 
어쨌거나 좀더 장기로 묻어둘 요량으로 분산 투자 해볼려고 함.",5,2021-07-04 12:01:20,안녕하세요. 핀트 고객센터입니다. 1년 동안 이용한 생생한 리뷰에 감사 드립니다. 핀트는 중장기적으로 포트폴리오를 구성하여 운용하는 중위험-중수익 추구의 투자서비스로 장기적으로 꾸준히 수익을 쌓아나가고자 하고 있습니다. ISAAC커스터마이징 화면의 분산스타스타일 변경 시 목표포트폴리오의 변경내용을 원그래프로 보여주는데요. 고객님 주신 의견에 대해서는 관련팀에 전달하여 서비스 개선에 참고하도록 하겠습니다. 핀트와 함께 건강한 투자 이어나가시길 바라겠습니다. 감사합니다. 
잘이용하고 있습니다.,"이번년도 초부터 이용하면서 잘 사용하고 있습니다.
꾸준히 투자하면서 틈틈히 투자금 입금을하다보니 어느덧 금액도 많이 쌓였네요.
다만 아쉬운점은 월별로 얼마를 투자했고 다른달도 한번도 볼수있는 투자내역도 만들었음 합니다.
1월은 총 얼마 2,3,4월 … 
이런것도 반영 부탁드립니다.",5,2022-04-28 22:35:05,"안녕하세요, 핀트 입니다. 먼저 고객님의 소중한 의견에 진심으로 감사 드립니다. 주신 의견은 관련팀에 전달하여 서비스 개선에 고민될 수 있도록 하겠습니다. 앞으로도 소중한 의견이나 문의사항 있으신 경우 리뷰를 통해 남겨주시거나 핀트 고객센터(1644-8880)로 연락 주시면, 고객님들의 의견을 적극적으로 반영하여 보다 만족스러운 서비스가 제공될 수 있도록 노력 하겠습니다. 감사합니다."
307일째 사용중이예요.,"홀로 주식 공부중인 30대 직장인입니다. 사실 예적금 이외 금융지식이 전무한데, 일과 병행하는 공부는 버겁기만 하고, 시간은 흘러가고, 장기적으로 자산을 형성하려면 한시라도 빨리 뛰어들어야 할 것 같은데 가진 목돈은 100만원조차 없었을 때 핀트를 알게되었습니다. 소액으로 시작할 수 있어 좋았고, 아이작 코멘트를 통해 증시를 바라보는 눈을 일부분 옅보고 배울 수 있어서요. 인스타 인포그래픽도 잘 보고있어요. 사실 인터넷 줄글들은 경제 무지렁이 입장에서 좀 스트레스가 크긴 하거든요.
 지금 연준 금리인상 여파로 크게 하락하는 와중에 평온한 핀트 포폴 옅보면서 또 배워봅니다. 큰 수익은 없지만 원금을 까먹지도 않네요. 적금넣듯 모으고 있습니다. 근래에는 광고도 나오고 뭔가 부가 기능도 많아지는게 핀트가 점점 성장하고 있나 싶네요. 잘 됐으면 좋겠다…
 제로페이 상품권 서비스가 가능해서 너무 좋은데 상품권결제도 좀더 손쉬워졌으면 좋겠어요. 코로나로 마스크 때문에 일일이 비밀번호를 기입해야 하는데 “결제”에서 상품권 결제 페이지로 한번 더 들어가 실제 결제하기까지 좀 오래 걸리고 불편해서요. 
 오래오래 건실하게 잘 갔으면 좋겠습니다. 감사합니다.",5,2022-01-11 15:06:29,"안녕하세요, 핀트 입니다. 제로페이 상품권 결제 관련하여 의견 주셨는데요. 우선 고객님의 소중한 의견에 진심으로 감사드립니다. 해당 의견은 관련팀에 전달하여 서비스 개선에 고민 될 수 있도록 하겠습니다. 참고로 핀트 투자는 글로벌 자산 배분에 집중한 중위험-중수익 특성의 투자 서비스로 투자 전략의 특성 상 단기 대응보다는 중장기 대응에 초점을 두고 있으며, 중장기적으로 꾸준한 수익을 쌓아나가는 것을 목표로 하고 있어 장기 투자를 할 수록 좋은 성과를 기대할 수 있습니다. 앞으로도 꾸준한 애용 부탁드리며 핀트도 고객님 기대에 부응하여 좋은 성과로 보답할 수 있도록 노력 하겠습니다. 이용하시는 중 문의사항 및 제안의견은 언제든지 당사 고객센터(1644-8880)로 연락 주시기 바랍니다. 감사합니다."
더 아름다워졌네요,"큰 업데이트 한다고 해서 기존의 아름다움 잃을까봐 걱정했는데 더 아름다워졌네요.. 많이 맡길테니까 디자인 UXUI 일러스트 담당하시는 분들께 큰 보상해주세요.. 다른 서비스들보다 이뻐서 쓰는데, 수익률도 더 좋고 더 투명해서 흐름 공부도 되고 너무 좋아요 정말",5,2021-07-26 14:03:38,안녕하세요. 핀트 고객센터 입니다. 모든 직원들이 앱 업데이트를 위해 고생했는데요. 고객님의 리뷰에 큰 보람을 느낄 것 같습니다. 앞으로도 더욱 좋은 UXUI를 제공할 수 있도록 고민하고 개선해 나가고자 노력 하겠습니다. 힘이 되는 리뷰에 감사 드립니다. 
확실히 안정적이네요.,"*단타성 하시는 분들은 그냥 쭉 증권사 어플로 단타 하시면 될 것 같습니다. 복리개념으로 그냥 적금 넣는다 하시는 분들에게 좋아요. 

개인 주식으로 하는 것 보다 시간적인 여유나 스트레스 받는거에 덜하며 손해도 확실히 주식보다 없습니다. 일희일비 안하게 되어서 좋은 것 같구요. 아이작수익률 보면서 반응이 좋으면 금액도 늘리려고 생각 중입니다. 주식자동매매 프로그램 이런 것 보다 아이작 쓰는게 더 가치있는 선택인 것 같아요.",5,2021-02-16 06:25:08,안녕하세요. 핀트고객센터 입니다. 다른 고객분들께 도움이 될 수 있는 리뷰에 감사 드립니다. 잘 운용하여 좋은 성과로 보답 할 수 있도록 하겠습니다. 고객님 남겨주신 내용처럼 단타가 아닌 중장기적으로 길게 보고 함께해 주시길 바라겠습니다.  감사합니다.
최고의 투자 어플,"직장다니면서 항상 휴대폰을 바라볼 수 없는 노릇인데
핀트라는 어플은 지속적으로 투자에 대해 신경을 크게 쓸 필요가 없다는점이 참 만족스럽습니다.
수익률도 관심을 안써도 되는 투자임에도 만족스럽구요.",5,2021-12-01 05:53:36,"안녕하세요, 핀트 고객센터입니다. 핀트 투자는 직접 투자 시 느낄 수 있는 여러 허들(물리적, 심리적 제약) 없이 투자에 대해 모르는 고객님들도 손쉽게 글로벌 분산투자를 할 수 있도록 돕고 있는데요, 인공지능 아이작에 의해 고객별 투자성향에 따른 맞춤형 포트폴리오를 제공하고 자산재조정(리밸런싱)도 자동으로 진행되어 신경쓰거나 관리할 필요가 없다는 장점이 있습니다. 앞으로도 신경쓰지 않아도 잘 운용하여 만족한 성과를 드릴 수 있도록 노력 하겠습니다. 감사합니다."
가계부 어플과의 연동,"너무 잘 쓰고 있고 꾸준히 투자도 하고 있어요!
직접운용과는 다르게 크게 실패하지는 않을 거란 안정적인 느낌? 이 있어서 좋은 듯 합니다
다만 핀트에만 투자를 하는 건 아니다보니 가계부앱에서 다양한 투자 상품과 수익률/자산 비교를 해보고 싶은데 연동이 안 되어 있어 아쉬워요ㅠㅠ 
뱅샐 등과 제휴 잘 성사되어서 연동되면 더 좋을 듯..!!",5,2020-12-03 02:25:12,안녕하세요. 핀트 고객센터입니다. 잘 이용하고 계시다니 감사합니다. 고객님 남겨주신 의견은 핀트 운용에 참고할 수 있도록 하겠습니다. 앞으로도 꾸준히 투자하면서 핀트와 함께해 주시길 바라겠습니다. 감사합니다.  
핀트 사용 후기,"처음에는 지인의 소개로 앱을 사용하게 되었습니다. 작은 돈을 조금씩 저축한다는 생각으로 반신반의하며 투자를 시작하였으나, AI 기술로 돈을 잘 운용하여 큰 도움을 받고 있습니다.",5,2022-03-29 14:48:45,"안녕하세요. 핀트 입니다. 국내 최초의 로보어드바이저 모바일 간편투자 서비스로, 직접 투자 시 느낄 수 있는 여러 허들(물리적, 심리적 제약) 없이 고객님들이 손쉽게 글로벌 분산투자를 할 수 있도록 돕는 서비스 철학을 갖고 안정성에 무게를 두고 중장기적으로 포트폴리오를 구성하여 꾸준히 수익을 쌓아나가는 것을 목표로 운용하고 있습니다. 투자는 핀트에 맡기고 일상을 즐기시길 바라고요. 만족스러운 서비스로 고객님 성원에 보답할 수 있도록 더욱 노력하는 핀트가 되겠습니다. 감사합니다."
유용한 앱입니다.,"핀트로 투자 운용한 지 한 달정도 되었는데, 지금까지 아무 불편함 없이 사용하고 있네요 :) 앱 안정성도 전혀 문제 없는 것 같아서 만족스럽습니다ㅎㅎ
편리함은 둘째치고, 직관적인 UI가 가장 마음에 들더라고요. 많이 이용하시면 좋겠습니다.
(투자 중지 신청 이후 정산시까지 기간이 좀 걸린다는 점이 조금 아쉽습니다. 정산 기간을 없애지는 못하더라도, 조금 더 단축할 수 있다면 예상 수익금/손실금과의 격차가 줄어들어 훨씬 이용하기 편리할 것 같네요!)",5,2020-06-03 09:51:26,"안녕하세요, 핀트 고객센터입니다. 저희 핀트 서비스를 이용해 주셔서 감사드립니다.먼저 저희 핀트 서비스를 만족하시면서 잘 활용하고 계신 것 같아 기쁩니다. 계좌별 1:1 운용을 하는 투자일임 계약 특성 상 계좌별로 직접 청산하여야 하므로, 매도전까지 해당 시장의 변동(상승과 하락)과 매매수수료는 영향을 미칠 수 밖에 없는 점을 양해 부탁드립니다. 다만, 그 영향이 최소화 될 수 있도록 더욱 신경 쓰도록 하겠습니다. 감사합니다. "
