title,review,rating,date,developerResponse
쉽고 빠른 투자! 며칠 사용해봤는데 좋네요~,이미 주식이나 소액으로 하는 부동산투자는 하고 있는데 얼마전 파운트를 알게되어서 100만원만 해보자는 생각으로 투자를 시작했습니다. 처음엔 계좌를 다시 만들고 하는것들이 귀찮았는데 막상 바로 수익이 나기 시작하는걸 보고 참 잘했다는 생각이 듭니다. 그리고 무엇보다 궁금한것이 있을때 카카오채널에 문의하면 바로바로 피드백이 옵니다. 그점이 너무 좋네요. 매달 조금씩 투자 금액을 늘려보려구요. 다들 성투하세요!,5,2020-11-27 06:04:09,
업데이트하래서 앱스토어왔는데 안되요!,"앱 켜니까 업데이트 되었다고 앱스토어 연결하래서 왔는데 그냥 열기만 되어있어서 열기 누르니 다시 앱에선 업데이트 하고 오라고 하고-.,-;ㅋㅋ

버그 좀 바로 고쳐주세요..;;

그리고 메인화면에서 나오는 정보들을 뒤로 가게하고 맨 뒤에 있는 투자한 정보들을 맨 앞으로 오게 해주실 수 있을까요??사용자로써 내가 투자한 그래프와 포트폴리오 관련 정보들이 제일 처음에 있어야 UX도 편하고, 한번이라도 덜 클릭하고 바로 정보를 확인할 수 있을것 같아서요~ 그리고 지금의 맨 첫번째 페이지는 같은 내용들은 같은 내용이라 처음 어플 설치할때 빼고는 몇번 안 들어갔네요;차라리 최근 트렌드나 분석 성향, 이벤트 혹은 투자 팁들을 자주 업데이트해서 제일 처음에 배치하는게 나을것 같아요. 많이 바쁘시겠지만 다음번 업데이트 개발 설계 시 참고 부탁드립니다! 사용이 더 편리하고 이해하기 쉽게 되면 부모님이나 지인들께도 어플 추천 할게요!",3,2021-01-28 15:44:06,"안녕하세요, SOOVINYIIIV 고객님 :) 사용하시는 기기마다 앱스토어에 업데이트 버전이 배포되는 시간이 상이할 수 있는 점 이용에 참고해주세요. 파운트를 이용해주시는 고객님들의 유입량이 늘어나면서 메인 화면을 자산탭으로 두었을 때 트래픽 과부화로 앱이 먹통되는 현상이 발생할 우려를 방지하기 위해 메인화면을 가이드/뉴스 화면으로 두게 되었습니다. 트래픽을 확보해 보다 다양한 정보와 편리한 서비스를 제공할 수 있도록 하겠습니다! 의견감사드립니다. 그 외 문의사항이 생기면 언제든 카카오톡(http://pf.kakao.com/_xcixfWC/chat)으로 연락해주세요!"
돈 모으는 방법을 적금밖에 몰랐는데,파인트 덕분에 조금씩 투자하면서 돈을 모아나갈수 있어서 너무 좋은것 같아요 정말 간단하면서도 편리한거 같아요 투자에 대해서 모르는 사람한테 강추합니다!!!,5,2020-11-10 05:08:55,
만족도 최상👍🏻,2년차 신혼부부에요. 주택마련 목표로 제테크 하려는데 지식이 없어서 영 막막하더라고요. 이 앱 만나서 투자 성향도 파악하고 맞춤형으로 추천 및 관리 해주니 이해도 쉽고 제대로 자산관리를 시작했다는 생각이 들어서 뿌듯했어요! 앞으로도 자주 애용하겠습니다~ 좋은 앱 만들어주셔서 감사해요!,5,2020-02-24 13:45:29,
알아서 해주니까 얼마나 좋아요,"파운트 한지 이제 1년정도 됐어요. 주식같이 위험성 높은 거 말고, 안정적이면서도 적금보단 수익이 많이 나는 걸 찾다가 알게 되었어요. 수익률도 진짜 만족스럽고 한시름 덜은 것 같아서 파운트에게 참 감사한 마음입니다^^ 앞으로도 화이팅하세용 :)",5,2021-08-10 01:09:43,"안녕하세요, 구라아닌데 고객님 :) 파운트와 어느덧 1년 이상의 기간을 함께해주셨군요! 원하시는 방향과 목표에 따라 주식/채권의 비율을 조정하여 알맞은 성과를 추구할 수 있으니 편하게 이용해주시길 바랍니다. 문의사항이 생기면 언제든 카카오톡 고객센터(앱 내 '1:1 문의하기')로 연락해주세요! 상냥한 리뷰작성에 감사드리며 안정적인 성과달성에 늘 힘쓰겠습니다."
기업 가치관이 좋은 곳,"김영빈 대표님의 인터뷰를 보고 파운드에 가입하게 되었습니다. 파병나갔을 때와 세계여행하면서 정말 가난을 해결해주고 싶었다는 말이 참 좋았습니다. 좋은 마인드를 가진 기업이 가장 미래지향적이라고 생각하거든요. 뿐만 아니라 다른 로보어드바이저 회사들보다 실적도 좋고요.누구나 쉽게 시작할 수 있는 투자방법을 알게 되어 바로 시작했습니다. 좋은 결과로 좋은 후기를 쓰게 될 날을 기대하며, 대표님과 직원분들 모두 부디 건강하십시오!",5,2020-12-10 00:59:52,
너무너무 추천합니다.,"예금 적금만 하다가 파운드를 알게되서 의심스러운 마음으로 시작했는데 좋아요
제가 투자하면 돈 잃을까 봐 불안했는데 안정적으로 운용해주시고 궁금한 걸 카톡으로 물어보면 바로바로 답변해주셔서 신뢰도 가고 추천합니다.
가족이랑 친구들한테도 추천했어요!!",5,2020-02-14 00:24:51,
인공지능이 내 돈을 관리해준다니!,"안녕하세요, 20대 대학생입니다.
평소에 주식 투자를 해오다가, 해야 하는 공부가 있어서
주식 투자에 시간을 많이 쏟지 못하게 되었어요.
그래서 파운트에게 제 돈을 맡겼습니다.
이성적인 판단을 해줄것 같아서요 !
현재까지 한 1달정도 써본 결과..
장이 좋지 않음에도 나름 선방을 하고 있는 것 같아 
매우 만족합니다.
허나 앱에 버그가 있는 것 같아요 ㅠㅠ
어제 저녁부터 계좌 잔고가 0원으로 뜨네요.
Kb증권 어플에서는 잔고가 원래 금액만큼 뜨는데,
왜 이런 걸까요? 빠른 피드백 부탁드립니다
어제 저녁에 순간 너무 당황했어요..내 돈..

처음 사용해보지만 인터페이스도 직관적이고 
너무 좋아요!",5,2021-10-12 16:11:43,"안녕하세요, 마선호 고객님 :) 상세한 리뷰를 남겨주셔서 감사드립니다. 최근 파운트를 이용해주시는 고객님들이 급증하면서 일정시간 자산이 조회되지 않는 서버 이슈가 발생되었습니다. 현재는 조치가 완료된 상태이며 정상이용이 가능하십니다. 안정적인 성과와 서비스를 제공해드리기 위해 늘 신경쓰겠습니다. 도움이 필요하실 때에는 언제든 카카오톡 고객센터로 연락해주세요."
맘 편히 자산관리 해주는 앱🙌🏻,"돈은 모으고 싶은데 투자는 잘 모르겠고.. 이래저래 고민하다가 파운트 앱 다운받았어요. 투자는 늘 어렵다고 생각했는데, 제 성향에 맞춰서 알아서 투자해주니 저도 편하고 시중 은행에 맡기는 거 보다 더 이득이라 좋아요.  큰 금액은 아니지만 인공지능이 알아서 해외 국내 주식 및 펀드에 투자해주고 이슈 있을때마다 리밸런싱 알림으로 변동사항 체크도 가능하니~ 돈 넣어두고 맘 편히 지켜보면 되는거 같아서 저처럼 주식과 투자 잘 모르는 사람들에게 넘 도움되는 앱인 거 같아요~! 자산관리에 관심은 많지만 쉽게 하지 목하는 주변 친구들에게도 추천했어요. :) 앞으로도 좋은 기능 업데이트 많이 해주세요!",5,2021-04-07 01:18:28,
좋아요~~!,"파운트로 투자를 처음 시작했어요! 어떤걸로 시작해야하나 고민하다가 우연히 광고보고 파운트를 알게 됐고, 믿을수 있는 앱인가 찾아보다가 유튜브에 대표님 인터뷰 영상을 보고 생각하시는 가치관도 너무 좋으시고 원래는 기업이 주고객이라는 말을 듣고 이정도면 안전할것 같고, 믿을 수 있을것 같아서 안심하고 진행했습니다~~ 같은 시기에 개인적으로 주식을 좀 사서 진행하고 있는데 직접 투자한건 마이너스고 파운트는 플러스예요! 좋은 앱 만들어 주셔서 감사하고 많이 번창하셨으면 좋겠어요~👍🏻👍🏻",5,2021-04-26 09:21:39,
굳굳 👍🏻👍🏻,"전업주부로 일하면서 남편에게 용돈을 받아 생활하는 중입니다 ㅎㅎ 남편에게 받는 용돈이 조금 부족한가 싶어 남편 몰래 조금씩 투자하여 불려볼까 했는데 주식도 펀드도 해본적 없는 저에겐 투자가 너무 어렵더라구여! 그런데 마침 자동으로 투자해주고 관리해주는 어플이 있다하여 파운트를 써보니 너무 좋습니다. 상품 포트폴리오(?)도 많아서 클릭만 하면 되고, 자동으로 관리해주니 매번 주식어플을 들여다보거나 머리 아프고 어려운 상품 설명을 보며 판단하지 않아도 투자가 굴러가니 저같은 초보자에게 매우 유용한 것 같습니다. 채고채고 👍🏻",5,2021-03-21 14:37:11,
파운트 투자를 경험하다,"최근 보유 금융 자산에 대한 제테크의 필요성을 많이 느끼고 있고 저와 비슷한 분들이 많을 것이라 예상됩니다.
파운트가 타 로보 어드바이저 제테크 서비스보다 가장 높은 강점은 선자문 수수료가 0원이라는 부분이 가장 좋습니다. 수익 발생시 수익에 대한 15%의 수수료만 부과되는데 이는 파운트가 그만큼 자체 포트폴리오 구성 및 자문 서비스의 수익률에 대해 자신이 없다면 불가능했을 것이라 봅니다. 이게 정말 맘에 들었고 최근 우한 폐렴으로 인해 전세계적으로 주가가 전부 떨어졌었는데 평균 증시하락 대비 자산가치 감액이 적어 성공적으로 방어했다고 판단하였습니다. 잠깐 지나가는 이벤트성이라 장기 투자시에 발생하는 운용 능력은 계속 지켜봐야 겠구요.
요즘같은 저금리 시기엔 무조건 제테크가 필수이며 은행에 예금이 아깝다고 생각하시는 분들중에 아직 자가 포트폴리오 구성에 어려움을 느끼시는 분들은 한번 장기투자 해볼만 하다고 생각됩니다.",5,2020-01-29 06:10:30,"소중한 의견 감사드립니다!
말씀하신대로 수익에 대해서만 수수료를 부과하는 성과보수제는 고객 관점에서 생각하고자 하는 파운트의 노력과 수익에 대한 파운트의 자신감입니다. 최근 신종 코로나 사태에서 대부분의 지표들이 하락하는 기간에도 소폭이지만 수익을 만들어내기도 했습니다. 
파운트는 이처럼 수준높은 글로벌 투자 서비스를 쉽고 간편하게 제공해드리기 위해 끊임없이 노력하고 있습니다. 앞으로 더 나아질 파운트의 상품과 서비스들도 기대해주세요 :)"
투알못. 재테크에 눈뜨다,"일명 투알못. 돈은 안쓰고 그대로 모으면 된다는 생각뿐이었습니다. 펀드상품도 워낙 다양하고, 재테크는 사회,정치,경제를 두루 섭렵해야할 수 있는 미지의 세계로 생각했는데, 파운트 앱상에서 다양한 재테크 방법 및 돈모으기 방법을 알려주어 앱 설치한지 일주일도 안되었는데 조금이나마 눈을 뜨게 된 것 같아요. 무엇보다도 파운트 로보 펀드가 관리하고 밀착투자해줘서 곧 부자될 것 같은 느낌이예요. 좋은 앱 만들어주셔서 감사합니다.",5,2020-10-27 08:01:53,
